,name,company,year,Price,kms_driven,fuel_type
0,Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
1,Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
2,Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
3,Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
4,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol
5,Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
6,Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
7,Mahindra Jeep MM 550 XDB,Mahindra,2006,425000,122,Diesel
8,Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel
9,Nissan X Trail Select Variant,Nissan,2019,1200000,300,Diesel
10,Maruti Suzuki Swift Dzire Tour VXi,Maruti,2011,230000,65,Petrol
11,Tata Tigor Revotron XZ,Tata,2019,650000,100,Diesel
12,Mahindra Jeep MM 550 XDB,Mahindra,2004,424000,383,Diesel
13,Ford Figo Petrol Titanium,Ford,2019,525000,0,Petrol
14,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2009,125000,0,Petrol
15,Hyundai Creta 1.6 SX,Hyundai,2019,1200000,0,Petrol
16,Tata Tiago Revotorq XZ,Tata,2019,568500,0,Petrol
